Setting java path
Starting model check...
TLC2 Version 2.19 of 08 August 2024 (rev: 5a47802)
Running breadth-first search Model-Checking with fp 110 and seed -1230995419751527043 with 32 workers on 32 cores with 163840MB heap and 64MB offheap memory [pid: 1135700] (Linux 4.18.0-553.58.1.el8_10.x86_64 amd64, Red Hat, Inc. 21.0.7 x86_64, MSBDiskFPSet, DiskStateQueue).
Parsing file /scratch/stolla/models/tlc_large_T/gen_server_behaviour_simple.tla

Unrecoverable error:
 -- Illegal lexeme `§' found at
    line 60, column 3.

Parsing file /tmp/Naturals.tla
Parsing file /tmp/Sequences.tla
Parsing file /tmp/TLC.tla
Parsing file /tmp/FiniteSets.tla
Parsing file /tmp/Typecheck.tla
Parsing file /tmp/Timeouts.tla
Parsing file /scratch/stolla/models/tlc_large_T/ShiVizExt.tla
Parsing file /scratch/stolla/models/tlc_large_T/GenServerUtil.tla
Parsing file /tmp/Integers.tla
Parsing file /tmp/Json.tla
Parsing file /tmp/Toolbox.tla
Semantic processing of module Naturals
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module TLC
Semantic processing of module Integers
Semantic processing of module Typecheck
Semantic processing of module Timeouts
Semantic processing of module Json
Semantic processing of module GenServerUtil
Semantic processing of module Toolbox
Semantic processing of module ShiVizExt
Semantic processing of module gen_server_behaviour_simple
Starting... (2025-07-07 09:56:51)
Implied-temporal checking--satisfiability problem has 1 branches.
Computing initial states...
Finished computing initial states: 1 distinct state generated at 2025-07-07 09:56:51.
Progress(49) at 2025-07-07 10:26:55: 180,728,249 states generated (6,348,434 s/min), 57,755,150 distinct states found (2,037,662 ds/min), 7,753,311 states left on queue.
Progress(49) at 2025-07-07 10:27:55: 186,559,693 states generated (5,831,444 s/min), 59,624,900 distinct states found (1,869,750 ds/min), 7,974,350 states left on queue.
Progress(49) at 2025-07-07 10:28:55: 192,719,383 states generated (6,159,690 s/min), 61,601,091 distinct states found (1,976,191 ds/min), 8,254,195 states left on queue.
Progress(49) at 2025-07-07 10:29:55: 198,880,932 states generated (6,161,549 s/min), 63,576,591 distinct states found (1,975,500 ds/min), 8,533,480 states left on queue.
Progress(50) at 2025-07-07 10:30:55: 205,116,394 states generated (6,235,462 s/min), 65,580,874 distinct states found (2,004,283 ds/min), 8,830,477 states left on queue.
Progress(50) at 2025-07-07 10:31:55: 211,265,631 states generated (6,149,237 s/min), 67,486,520 distinct states found (1,905,646 ds/min), 9,080,249 states left on queue.
Progress(50) at 2025-07-07 10:32:55: 217,376,065 states generated (6,110,434 s/min), 69,409,797 distinct states found (1,923,277 ds/min), 9,331,835 states left on queue.
Progress(50) at 2025-07-07 10:33:55: 223,625,408 states generated (6,249,343 s/min), 71,369,166 distinct states found (1,959,369 ds/min), 9,616,987 states left on queue.
Progress(50) at 2025-07-07 10:34:55: 229,702,064 states generated (6,076,656 s/min), 73,286,182 distinct states found (1,917,016 ds/min), 9,900,575 states left on queue.
Progress(51) at 2025-07-07 10:35:55: 235,770,010 states generated (6,067,946 s/min), 75,181,481 distinct states found (1,895,299 ds/min), 10,134,806 states left on queue.
Progress(51) at 2025-07-07 10:36:55: 241,940,600 states generated (6,170,590 s/min), 77,052,235 distinct states found (1,870,754 ds/min), 10,354,964 states left on queue.
Progress(51) at 2025-07-07 10:37:55: 248,055,189 states generated (6,114,589 s/min), 78,888,905 distinct states found (1,836,670 ds/min), 10,499,543 states left on queue.
Progress(51) at 2025-07-07 10:38:55: 254,114,889 states generated (6,059,700 s/min), 80,755,113 distinct states found (1,866,208 ds/min), 10,689,152 states left on queue.
Progress(51) at 2025-07-07 10:39:55: 260,245,756 states generated (6,130,867 s/min), 82,605,613 distinct states found (1,850,500 ds/min), 10,893,694 states left on queue.
Progress(51) at 2025-07-07 10:40:55: 266,512,537 states generated (6,266,781 s/min), 84,531,269 distinct states found (1,925,656 ds/min), 11,134,598 states left on queue.
Progress(52) at 2025-07-07 10:41:55: 272,707,117 states generated (6,194,580 s/min), 86,416,952 distinct states found (1,885,683 ds/min), 11,292,914 states left on queue.
Progress(52) at 2025-07-07 10:42:56: 278,845,880 states generated (6,138,763 s/min), 88,263,297 distinct states found (1,846,345 ds/min), 11,458,496 states left on queue.
Progress(52) at 2025-07-07 10:43:56: 283,920,433 states generated (5,074,553 s/min), 89,762,730 distinct states found (1,499,433 ds/min), 11,516,469 states left on queue.
Progress(52) at 2025-07-07 10:44:56: 289,055,153 states generated (5,134,720 s/min), 91,284,687 distinct states found (1,521,957 ds/min), 11,582,377 states left on queue.
Progress(52) at 2025-07-07 10:45:56: 294,255,916 states generated (5,200,763 s/min), 92,862,511 distinct states found (1,577,824 ds/min), 11,696,492 states left on queue.
Progress(52) at 2025-07-07 10:46:56: 300,187,218 states generated (5,931,302 s/min), 94,632,199 distinct states found (1,769,688 ds/min), 11,833,967 states left on queue.
Progress(52) at 2025-07-07 10:47:56: 306,123,723 states generated (5,936,505 s/min), 96,457,376 distinct states found (1,825,177 ds/min), 12,018,309 states left on queue.
Progress(53) at 2025-07-07 10:48:56: 312,131,529 states generated (6,007,806 s/min), 98,289,432 distinct states found (1,832,056 ds/min), 12,161,053 states left on queue.
Progress(53) at 2025-07-07 10:49:56: 318,189,489 states generated (6,057,960 s/min), 100,170,426 distinct states found (1,880,994 ds/min), 12,381,703 states left on queue.
Progress(53) at 2025-07-07 10:50:56: 323,873,194 states generated (5,683,705 s/min), 101,909,787 distinct states found (1,739,361 ds/min), 12,518,278 states left on queue.
Progress(53) at 2025-07-07 10:51:56: 329,781,289 states generated (5,908,095 s/min), 103,719,988 distinct states found (1,810,201 ds/min), 12,661,490 states left on queue.
Progress(53) at 2025-07-07 10:52:56: 335,321,969 states generated (5,540,680 s/min), 105,455,409 distinct states found (1,735,421 ds/min), 12,839,607 states left on queue.
Progress(53) at 2025-07-07 10:53:56: 340,864,495 states generated (5,542,526 s/min), 107,170,771 distinct states found (1,715,362 ds/min), 13,033,575 states left on queue.
Progress(53) at 2025-07-07 10:54:56: 346,717,185 states generated (5,852,690 s/min), 108,975,035 distinct states found (1,804,264 ds/min), 13,218,860 states left on queue.
Progress(53) at 2025-07-07 10:55:56: 352,649,338 states generated (5,932,153 s/min), 110,811,703 distinct states found (1,836,668 ds/min), 13,397,385 states left on queue.
Progress(54) at 2025-07-07 10:57:07: 357,704,561 states generated (5,055,223 s/min), 112,456,947 distinct states found (1,645,244 ds/min), 13,629,017 states left on queue.
Progress(54) at 2025-07-07 10:58:07: 363,929,927 states generated (6,225,366 s/min), 114,412,397 distinct states found (1,955,450 ds/min), 13,909,721 states left on queue.
Progress(54) at 2025-07-07 10:59:07: 369,954,001 states generated (6,024,074 s/min), 116,296,411 distinct states found (1,884,014 ds/min), 14,135,552 states left on queue.
Progress(54) at 2025-07-07 11:00:07: 375,916,034 states generated (5,962,033 s/min), 118,160,666 distinct states found (1,864,255 ds/min), 14,359,684 states left on queue.
